size,time
8192,0.0034750407264136918
16384,0.0019467505640118343
32768,0.0019444180088189489
65536,0.002824724338627349
131072,0.003698499513895448
262144,0.004471041793790986
16384,0.0021958674586157745
32768,0.0022271236982008835
65536,0.0030178599086011504
131072,0.00329496746552016
262144,0.0035888694198281668
524288,0.004287236444588727
4,0.0013953345164052777
8,0.001178873394502289
16,0.001148550176994223
32,0.0010337884615025938
64,0.0009652113388306516
128,0.0009703429602551106
8,0.0010095298874962522
16,0.0009703429602552216
32,0.0010972339627500771
64,0.0010823056095152772
128,0.0010370540387726335
256,0.0015978003071508429
16,0.0011774738613864466
32,0.00119006965942825
64,0.001112628827023343
128,0.0009750080706409925
256,0.0009143616356249717
512,0.0010048647771103703
32,0.001107497205598884
64,0.0011420190224540328
128,0.0011060976724831528
256,0.000967077382985071
512,0.0010011326888016425
1024,0.0014937683455465978
64,0.0010743749218594667
128,0.0009572806511748411
256,0.000993202001145721
512,0.0011359543789525306
1024,0.0009694099381779564
2048,0.0017718089245427615
128,0.000941419275862887
256,0.0008779737746154037
512,0.0010921023413256181
1024,0.0010001996667244883
2048,0.002380139318856611
4096,0.0016472504772407914
256,0.0010015991998402196
512,0.0008854379512328592
1024,0.0008616458882649836
2048,0.0015492831591380485
4096,0.0018072637634751754
8192,0.0019285566335071058
512,0.0017060308681023928
1024,0.0016094630831154921
2048,0.0017708759024656073
4096,0.001769476369349876
8192,0.0023936681389755687
16384,0.002401132315592913
1024,0.0017078969122567011
2048,0.0018693097316068163
4096,0.0019416189425874864
8192,0.002390869072743995
16384,0.0021706758625322786
32768,0.002544817715476766
2048,0.002406263937017261
4096,0.0023824718740494966
8192,0.0018347879147516677
16384,0.0019304226776614142
32768,0.0026241245920360923
65536,0.002302231975413016
4096,0.002432388555178022
8192,0.001867910198491085
16384,0.001764344747925417
32768,0.0025261572739334603
65536,0.0026003325290683277
131072,0.0029264237450387087
8192,0.002808862963315395
16384,0.0027692095250357873
32768,0.0021487498437188224
65536,0.0021039647840146447
131072,0.003005730621597924
262144,0.003434454266056819
16384,0.0030192594417168817
32768,0.0021403526450243238
65536,0.002037253705497122
131072,0.0031069635169708176
262144,0.003632254946416613
524288,0.003999865644820799
32768,0.004131888268740114
65536,0.003134954179285776
131072,0.003331821837568305
262144,0.0032002657246875676
524288,0.004303564330939258
1048576,0.005719425333042261
8,0.001515694364360054
16,0.001101432562097382
32,0.0009213593012037391
64,0.0008714426200753245
128,0.0009582136732519952
256,0.0008961677051202432
16,0.0008789067966926689
32,0.000910629547316355
64,0.0008798398187698231
128,0.00093115603301408
256,0.000982472247258337
512,0.0009092300142006238
32,0.0009498164745573856
64,0.0009596132063677265
128,0.0008579137999563669
256,0.0011098297607917695
512,0.0019784733146355205
1024,0.0010743749218594667
64,0.0009908694459528355
128,0.0010725088777050473
256,0.0009138951245863947
512,0.000858846822033521
1024,0.0008439184687988321
2048,0.0008476505571074489
128,0.0010841716536695856
256,0.0010132619758048689
512,0.0010309893952710203
1024,0.0012325221639394313
2048,0.001178873394502289
4096,0.0018245246719027497
256,0.0016729085843628644
512,0.0011336218237595341
1024,0.0010753079439366209
2048,0.0009376871875541593
4096,0.0014396530650707673
8192,0.0017932684323176407
512,0.001759213126501069
1024,0.0019439514977803718
2048,0.0018917022614589607
4096,0.0029240911898457123
8192,0.0018604460218737406
16384,0.0024865038356538527
1024,0.002249516228052917
2048,0.002125424291789635
4096,0.002405797425978684
8192,0.0016103961051926463
16384,0.002358213300043044
32768,0.003046317081954797
2048,0.002100232695706028
4096,0.0025536814252098416
8192,0.002493501501232509
16384,0.0018063307413980212
32768,0.0017097629564110095
65536,0.003227323364925483
4096,0.002799532742543742
8192,0.002778073234768863
16384,0.001887970173150344
32768,0.0017783400790829518
65536,0.0026819719608205395
131072,0.003480638858876728
8192,0.002797666698389323
16384,0.002963744628125431
32768,0.0025686097784446416
65536,0.001862778577066626
131072,0.0020157941977223537
262144,0.0035865368646352813
16384,0.003398066405047251
32768,0.002799532742543853
65536,0.002264911092326294
131072,0.002161345641760626
262144,0.004370275409456781
524288,0.0037232245989404777
32768,0.0031326216240927796
65536,0.005199265525020813
131072,0.003914494124759971
262144,0.0027533481497239443
524288,0.005103630762111067
1048576,0.0061257564476489
65536,0.005623790570132403
131072,0.004309628974440871
262144,0.003951348496808116
524288,0.004443517642514383
1048576,0.0058327875154182696
2097152,0.007203863457817095
16,0.0013309559930807513
32,0.0010748414328978217
64,0.0009964675784159827
128,0.001495167878662551
256,0.0015035650773569387
512,0.0027122951783284943
32,0.0016122621493468436
64,0.0017200261992598165
128,0.0018268572270958572
256,0.0017559475492308074
512,0.0018291897822886316
1024,0.0026413855004636666
64,0.0011266241581808778
128,0.0009969340894544487
256,0.0008705095979979482
512,0.0008490500902231801
1024,0.0009656778498692287
2048,0.0016477169882795906
128,0.001742885240150649
256,0.002063844834696571
512,0.00162439143635007
1024,0.0015908026415720755
2048,0.0016617123194369032
4096,0.002720225865984416
256,0.0017676103251955677
512,0.0015324887617489402
1024,0.001023991729692364
2048,0.0010641116790106597
4096,0.0010370540387725224
8192,0.0018525153342179301
512,0.001754081505076499
1024,0.0016957676252535858
2048,0.0023096961520303605
4096,0.004366543321147942
8192,0.0027178933107914194
16384,0.001598733329228219
1024,0.00330989581875496
2048,0.0015959342629965345
4096,0.0018870371510730788
8192,0.0016976336694078942
16384,0.001655181164896824
32768,0.0015707426669129276
2048,0.002032588595111351
4096,0.0024818387252678598
8192,0.0037586794378727806
16384,0.0039914684461261896
32768,0.0034181263797063988
65536,0.0018968338828833087
